iter	Logloss
0	0.3651821087
1	0.3115335665
2	0.2903594458
3	0.2825426523
4	0.2753545873
5	0.2711938888
6	0.266905442
7	0.2635404841
8	0.2611222968
9	0.2571730198
10	0.2539866563
11	0.2527645198
12	0.2513568161
13	0.2505991326
14	0.2492701717
15	0.2474757372
16	0.24526949
17	0.2436195927
18	0.2427862659
19	0.2414281814
20	0.2404747349
21	0.2388820762
22	0.2376456096
23	0.2358912784
24	0.2328152654
25	0.2318250273
26	0.23049988
27	0.2293723746
28	0.2279123406
29	0.2265047153
30	0.2246904084
31	0.2231025917
32	0.2216714845
33	0.2206638086
34	0.2195095302
35	0.2168250214
36	0.2154308741
37	0.2140215618
38	0.2126710034
39	0.2107938733
40	0.2090264316
41	0.2077911371
42	0.2068769436
43	0.2055536497
44	0.2046218542
45	0.2037137594
46	0.2023973308
47	0.2016145059
48	0.2000030704
49	0.1979702553
50	0.1971608515
51	0.1956579274
52	0.1948462379
53	0.1938111441
54	0.192036586
55	0.1912336482
56	0.1898355739
57	0.1889654037
58	0.1881169706
59	0.1872242337
60	0.1861867773
61	0.1854629999
62	0.1844469859
63	0.1832236241
64	0.1822027925
65	0.1813848511
66	0.1804199866
67	0.1789793281
68	0.1782651796
69	0.1776957973
70	0.1766189377
71	0.176083569
72	0.1748389075
73	0.1744534699
74	0.1736106203
75	0.1727419069
76	0.1716815028
77	0.171240727
78	0.1700772438
79	0.169155564
80	0.1683051522
81	0.1673921721
82	0.1665791131
83	0.1659555899
84	0.165146253
85	0.1641033041
86	0.1634096522
87	0.1624632854
88	0.1616750102
89	0.1611735708
90	0.1604804704
91	0.159742634
92	0.1593483813
93	0.1586204611
94	0.1582569056
95	0.1577141866
96	0.1572560192
97	0.1567203261
98	0.1559355593
99	0.1554909479
100	0.1549911776
101	0.1544911844
102	0.1537631251
103	0.1532475721
104	0.1527638348
105	0.1523007517
106	0.1519950163
107	0.1512493847
108	0.1501064553
109	0.1496422649
110	0.148832463
111	0.1482076421
112	0.1476096256
113	0.1472782191
114	0.1464705126
115	0.1458881295
116	0.1452417415
117	0.1447803505
118	0.1441972955
119	0.1436533035
120	0.1431731564
121	0.1426571204
122	0.1421575633
123	0.1415436553
124	0.1408428
125	0.1401794257
126	0.1395864997
127	0.1393928847
128	0.1387715004
129	0.1382919051
130	0.1377808224
131	0.1373124015
132	0.1366626567
133	0.1361766931
134	0.1359998257
135	0.1355315394
136	0.1351073626
137	0.1347991574
138	0.1343925771
139	0.1336789269
140	0.1332407417
141	0.1329306253
142	0.1324999311
143	0.1319966017
144	0.1315925776
145	0.1310660314
146	0.1307482994
147	0.1302792068
148	0.1298022522
149	0.1293537874
150	0.1285199963
151	0.1280951895
152	0.1277362586
153	0.1274234578
154	0.1270022963
155	0.126473099
156	0.1259136605
157	0.1254058955
158	0.1249380798
159	0.123872888
160	0.1231973298
161	0.1227253771
162	0.1224705457
163	0.1218882997
164	0.1213078627
165	0.1208540584
166	0.1203525878
167	0.120092118
168	0.1194877631
169	0.1191938186
170	0.1186339533
171	0.1184337703
172	0.117911449
173	0.1174495182
174	0.1172237526
175	0.1165504645
176	0.1159848463
177	0.1156065792
178	0.1151662258
179	0.1148992077
180	0.1145307885
181	0.1138549083
182	0.113512152
183	0.1130140756
184	0.1126499545
185	0.1124307847
186	0.1120324122
187	0.1118461999
188	0.1115696819
189	0.1113207995
190	0.1108437231
191	0.1104842393
192	0.110303148
193	0.1100853954
194	0.1097577395
195	0.1093063254
196	0.1087262447
197	0.1084626921
198	0.10819302
199	0.107823982
